,brain,batch,condition,Olfactory areas (T),Isocortex (T),Cortical subplate (T),Hippocampal formation (T),Cerebral nuclei (T),Thalamus (D),Hypothalamus (D),"Midbrain, motor related (Mes)","Midbrain, sensory related (Mes)","Midbrain, behavioral state related (Mes)",Medulla (Met),Pons (Met)
0,an021,202010_cfos,acquisition_day2,0.03557796438652866,0.11093259005450316,0.023834040513430504,0.10334297938821524,0.27361656044170646,0.06756972677401601,0.126795320183926,0.11640953716690042,0.021748007172403997,0.008894491096632165,0.029790331457382784,0.08148845136435458
1,an022,202010_cfos,acquisition_day2,0.035171417874525324,0.2101513611809381,0.018516339519709043,0.1650532170936514,0.18614751029576937,0.04868160667486762,0.08889126597849922,0.11012461892282184,0.03596298871476707,0.011210354602342622,0.032122800449269934,0.05796651869283842
2,an023,202010_cfos,acquisition_day2,0.038746190683500215,0.1515745174865767,0.01828471919895516,0.18078834711943115,0.2501995356261791,0.03812944420258308,0.09981316209548687,0.08258053983456683,0.02163147583804963,0.015137498186039763,0.03143593092439414,0.07167863880423742
3,an024,202010_cfos,acquisition_day2,0.038622610507754576,0.10331423075381718,0.026860497735743196,0.18981685568869475,0.22393099026169197,0.04292069089888991,0.1045164910030858,0.11481585380515369,0.02938524425920731,0.013916162385284335,0.03536648899931872,0.07653388370135855
4,an025,202010_cfos,acquisition_day2,0.030066760278865814,0.1272756386569113,0.020126622816741803,0.19898751016185057,0.20829946049811543,0.044231764097258146,0.1116079126943069,0.10260389722365926,0.04105387628408839,0.008585224053408223,0.04056118049910083,0.06660015273569335
5,an026,202010_cfos,acquisition_day2,0.10971516690856313,0.1494239840348331,0.010567851959361394,0.2495010885341074,0.1497187953555878,0.05748820754716981,0.07957637880986937,0.04689767779390421,0.016736211901306242,0.01607855587808418,0.05138788098693759,0.06290820029027576
6,an027,202010_cfos,acquisition_day2,0.044898927025905505,0.11947359060999467,0.033683087319935974,0.1869701819906337,0.15527891398423144,0.05926848064497006,0.1550655047720671,0.12582844270555457,0.023119331317801885,0.012602999585037643,0.024648764004979548,0.0591617760388879
7,an028,202010_cfos,acquisition_day2,0.0406049396148406,0.18323359808508324,0.02028070938962028,0.2054074638233054,0.2573387009030573,0.025807855510825806,0.07174409748667174,0.07084104014797084,0.031215319334131214,0.008073115003808072,0.02446958981612447,0.06098357088456098
8,an029,202010_cfos,acquisition_day2,0.06696329254727475,0.11190211345939934,0.020467185761957732,0.15272525027808675,0.19725621060437523,0.034408602150537634,0.13185020393029293,0.04241750092695588,0.02135706340378198,0.003967371153133111,0.12295142751205043,0.09373377827215425
9,an030,202010_cfos,acquisition_day2,0.031075120152742115,0.1821713081835539,0.01563631575482257,0.1168608861676213,0.15962209493712556,0.07801698597669365,0.09618803081177167,0.18259924945684378,0.05931924418987425,0.005530317993284614,0.01794061491869116,0.05503983145697544
0,an001,202010_cfos,habituation,0.06395385977240164,0.1363856213325546,0.034039368857171536,0.19856906889093714,0.20889951541810017,0.04021755993392895,0.0962045647432446,0.08685970852079322,0.026163772255632923,0.01233813048120534,0.029841484225992206,0.06652734556803767
1,an002,202010_cfos,habituation,0.0570287180020451,0.1556179483179951,0.027392155843255515,0.18779354928161668,0.2170141596908092,0.04917762872840084,0.09040018024575816,0.08253175964921403,0.021369521135548276,0.009246260767084352,0.036950380422537656,0.0654777379157351
2,an003,202010_cfos,habituation,0.05137878531551345,0.14308069700558282,0.0416004060226696,0.2070292674674336,0.1855269835899171,0.04654034850279141,0.12794789375740145,0.07996108949416342,0.021138555236000677,0.008298088309930637,0.025308746405007614,0.06218913889358822
